Trial,Date,Time,TimeFormatted,Mating,Plant,Active,Inactive,Unchanged,No Information,Comment,Weather,SumCheck
Cycle 1,26.04.2023,7.00pm,07:00:00 PM,2,0,9,3,3,3,"In summary, approx. half of the moths were actively flying, while in three cages, the male were unchanged in their tubes","dusk, dry",20
Cycle 1,26.04.2023,8.00pm,08:00:00 PM,2,0,3,12,0,3,The moths were mostly inactive.,dry,20
Cycle 1,26.04.2023,9.04pm,09:04:00 PM,2,0,3,10,0,5,The moths were mostly inactive.,dry,20
Cycle 1,26.04.2023,23.05pm,11:05:00 PM,4,3,6,4,0,3,"The moths were mostly active, in plant contact or mating. Worth highlighting is that the moths in E2 are probably mating since 3h.",,20
Cycle 1,27.04.2023,02.00am,02:00:00 AM,0,0,0,0,0,0,Spacing,,0
Cycle 1,27.04.2023,6.00pm,06:00:00 PM,2,0,0,4,12,2,"Most of the moths remain unchanged, the two from B1 are mating in one of the tubes.","cloudy, light rain",20
Cycle 1,27.04.2023,7.10pm,07:10:00 PM,2,1,4,6,5,2,Slightly more than half of the moths remained unchanged or inactive,rainy,20
Cycle 1,27.04.2023,8.05pm,08:05:00 PM,2,1,2,10,4,1,Most of the moths stayed in the same position as in the hour before,light rain,20
Cycle 1,27.04.2023,9.20pm,09:20:00 PM,2,1,1,11,3,2,Most of the moths stayed in the same position as in the hour before. Three moths stayed completely in their tubes,dry,20
Cycle 1,27.04.2023,10.32pm,10:32:00 PM,6,0,1,9,3,1,Moths were mating in three oviposition cages. ,dry,20
Cycle 1,27.04.2023,11.34pm,11:34:00 PM,6,0,1,11,2,0,Compared to 10.32pm the moth have mostly not changed their position.,dry,20
Cycle 2,30.04.2023,6.00pm,06:00:00 PM,0,0,0,1,9,5,Most of the moths remain unchanged,no notes,15
Cycle 2,30.04.2023,7.00pm,07:00:00 PM,0,0,2,1,7,5,"Most of the moths remain unchanged, while only 2 are active",no notes,15
Cycle 2,30.04.2023,8.00pm,08:00:00 PM,0,4,1,1,1,8,"Most of the moths moved from their initial start position, while they stay more preferably on the maize plants instead of the cage surface.",no notes,15
Cycle 2,30.04.2023,9.00pm,09:00:00 PM,2,5,1,2,1,4,Many moths were seen on plant leaves. One first egg batch was spotted.,no notes,15
Cycle 2,30.04.2023,10.00pm,10:00:00 PM,2,4,3,1,1,4,"The majority of the moths were active (flying), on plants or mating",no notes,15
Cycle 2,30.04.2023,11.00pm,11:00:00 PM,4,5,1,0,0,5,Moths are either mating or staying on plant leaves,start rain,15
Cycle 2,01.05.2023,12.00am,12:00:00 AM,4,4,1,0,0,6,Moths are either mating or staying on plant leaves,rainy,15
Cycle 2,01.05.2023,02.00am,02:00:00 AM,0,0,0,0,0,0,Spacing,,0
Cycle 2,01.05.2023,8.05pm,08:05:00 PM,0,4,0,4,0,7,Two moths were observed ovipositing and several new batches were spotted in cage E1.,light rain,15
Cycle 2,01.05.2023,9.00pm,09:00:00 PM,0,4,3,3,0,5,Oviposition is going on..,light rain,15
Cycle 2,01.05.2023,10.00pm,10:00:00 PM,0,6,3,1,0,5,"Especially in E1, intense oviposition was going on.",dry,15
Cycle 2,01.05.2023,11.00pm,11:00:00 PM,2,6,1,2,0,4,"Most moths are hiding on the plants, one pair is mating.",dry,15
Cycle 2,02.05.2023,00.10am,12:10:00 AM,6,3,1,2,0,3,Mating can be observed in each cage.,dry,15
Cycle 2,02.05.2023,01.00am,01:00:00 AM,0,7,1,4,0,3,"Most moths are somewhere located on a plant, but not observed mating or ovipositing.",dry,15
